,Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,state,Rent,Carpet Area (ft²)nan,Maintenance (Monthly)nan
0,Apartments,2,2,Semi-Furnished,700.0,4000.0,North-East,6, Maharashtra,42000,0,0
1,Apartments,1,2,Furnished,399.0,999.0,East,4, Maharashtra,20000,0,0
2,Apartments,1,1,Furnished,550.0,5500.0,North-East,3, Maharashtra,5500,0,0
3,Apartments,2,2,Semi-Furnished,800.0,1000.0,East,4, Maharashtra,15000,0,0
4,Apartments,3,3,Furnished,1800.0,2000.0,East,5, Maharashtra,31000,0,0
5,Apartments,3,2,Unfurnished,1300.0,1000.0,East,4, Maharashtra,13000,0,0
6,Apartments,3,3,Furnished,1300.0,1000.0,East,6, Maharashtra,16000,0,0
7,Apartments,1,1,Unfurnished,400.0,0.0,East,9, Maharashtra,9000,0,0
8,Apartments,1,1,Unfurnished,550.0,0.0,East,5, Maharashtra,9500,0,0
9,Apartments,1,1,Unfurnished,550.0,0.0,East,5, Maharashtra,8000,0,0
10,Apartments,3,3,Semi-Furnished,1200.0,0.0,East,12, Maharashtra,22000,0,0
11,Apartments,1,1,Unfurnished,455.0,0.0,East,7, Maharashtra,7000,0,0
12,Apartments,1,2,Unfurnished,500.0,4500.0,East,14, Maharashtra,30000,0,0
13,Apartments,1,1,Unfurnished,280.0,0.0,East,24, Maharashtra,16000,0,0
14,Apartments,2,2,Furnished,900.0,1000.0,East,8, Maharashtra,25000,0,0
15,Houses & Villas,4,4,Furnished,3000.0,0.0,East,1, Maharashtra,50000,0,0
16,Apartments,1,1,Unfurnished,670.0,700.0,North-East,4, Maharashtra,8500,0,0
17,Houses & Villas,2,1,Unfurnished,500.0,0.0,others,2, Maharashtra,7500,0,0
18,Apartments,1,1,Semi-Furnished,400.0,0.0,East,11, Maharashtra,8000,0,0
19,Apartments,2,2,Unfurnished,900.0,0.0,North-East,13, Maharashtra,11000,0,0
20,Apartments,2,2,Unfurnished,870.0,0.0,North-East,13, Maharashtra,12000,0,0
21,Apartments,2,2,Semi-Furnished,998.0,0.0,others,11, Maharashtra,13000,0,0
22,Apartments,2,2,Furnished,800.0,0.0,East,11, Maharashtra,25000,0,0
23,Apartments,2,2,Semi-Furnished,800.0,0.0,North-East,7, Maharashtra,15000,0,0
24,Apartments,1,1,Unfurnished,250.0,0.0,North,1, Maharashtra,5000,0,0
25,Builder Floors,2,2,Unfurnished,535.0,0.0,North-East,19, Maharashtra,14000,0,0
26,Apartments,2,2,Semi-Furnished,790.0,0.0,North-East,3, Maharashtra,22000,0,0
27,Apartments,2,1,Semi-Furnished,450.0,1000.0,North,4, Maharashtra,11000,0,0
28,Apartments,1,1,Unfurnished,425.0,300.0,North-West,4, Maharashtra,3499,0,1
29,Apartments,1,1,Unfurnished,450.0,0.0,East,5, Maharashtra,15000,0,0
30,Apartments,1,1,Semi-Furnished,667.0,875.0,East,7, Maharashtra,20000,0,0
31,Apartments,2,2,Unfurnished,850.0,0.0,East,5, Maharashtra,22000,0,0
32,Apartments,2,2,Semi-Furnished,850.0,300.0,others,2, Maharashtra,16500,0,1
33,Apartments,1,1,Semi-Furnished,800.0,0.0,East,4, Maharashtra,7200,0,0
34,Apartments,1,1,Semi-Furnished,480.0,0.0,North-West,4, Maharashtra,5000,0,0
35,Apartments,1,1,Semi-Furnished,480.0,3000.0,East,7, Maharashtra,15000,0,0
36,Apartments,2,2,Unfurnished,750.0,300.0,others,7, Maharashtra,22000,0,0
37,Builder Floors,1,1,Semi-Furnished,600.0,0.0,East,3, Maharashtra,6000,0,0
38,Apartments,1,1,Unfurnished,540.0,708.0,North-East,4, Maharashtra,7000,0,0
39,Apartments,1,1,Furnished,215.0,0.0,East,7, Maharashtra,7400,0,0
40,Houses & Villas,1,1,Semi-Furnished,580.0,100.0,East,1, Maharashtra,4500,0,0
41,Apartments,1,2,Semi-Furnished,500.0,1600.0,East,4, Maharashtra,15000,0,0
42,Apartments,3,3,Furnished,1300.0,2000.0,West,10, Maharashtra,22000,0,0
43,Apartments,1,1,Semi-Furnished,800.0,0.0,East,7, Maharashtra,14000,0,0
44,Apartments,2,2,Semi-Furnished,1001.0,0.0,East,9, Maharashtra,20000,0,0
45,Builder Floors,1,1,Unfurnished,800.0,0.0,West,9, Maharashtra,6000,1,0
46,Houses & Villas,1,1,Unfurnished,300.0,0.0,East,2, Maharashtra,6500,0,0
47,Apartments,1,2,Unfurnished,425.0,300.0,others,3, Maharashtra,22000,0,0
48,Apartments,2,2,Semi-Furnished,715.0,0.0,North-East,19, India,17000,0,0
49,Apartments,2,2,Furnished,750.0,0.0,North,6, Maharashtra,18000,0,0
50,Apartments,2,2,Unfurnished,600.0,0.0,West,19, Maharashtra,17000,0,0
51,Apartments,1,1,Furnished,450.0,300.0,others,4, Maharashtra,32000,0,1
52,Apartments,2,2,Unfurnished,650.0,300.0,others,7, Maharashtra,40000,0,0
53,Apartments,1,1,Semi-Furnished,450.0,300.0,others,4, Maharashtra,7500,0,1
54,Apartments,1,1,Semi-Furnished,336.0,300.0,others,4, Maharashtra,18000,0,1
55,Builder Floors,1,2,Unfurnished,500.0,820.0,North,4, Maharashtra,7000,0,0
56,Houses & Villas,2,1,Unfurnished,800.0,0.0,South,1, Maharashtra,7000,0,0
57,Houses & Villas,2,1,Unfurnished,250.0,0.0,South-East,3, Maharashtra,5000,0,0
58,Apartments,1,1,Unfurnished,435.0,0.0,East,4, Maharashtra,5500,0,0
59,Apartments,2,2,Semi-Furnished,900.0,1000.0,East,4, Maharashtra,14000,0,0
60,Apartments,1,1,Unfurnished,420.0,0.0,West,7, Maharashtra,6000,0,0
61,Apartments,1,1,Unfurnished,800.0,300.0,others,1, Maharashtra,5000,1,1
62,Apartments,1,1,Semi-Furnished,560.0,500.0,South,3, Maharashtra,6000,0,0
63,Apartments,1,1,Semi-Furnished,400.0,0.0,others,4, Maharashtra,21000,0,0
64,Apartments,2,1,Furnished,299.0,300.0,others,10, Maharashtra,32500,0,0
65,Apartments,2,1,Semi-Furnished,650.0,600.0,West,4, Maharashtra,20000,0,0
66,Apartments,2,2,Unfurnished,673.0,0.0,North-West,12, Maharashtra,9000,0,0
67,Builder Floors,1,1,Unfurnished,660.0,400.0,East,3, Maharashtra,11000,0,0
68,Apartments,1,1,Unfurnished,500.0,300.0,others,0, Maharashtra,500000,0,1
69,Apartments,2,2,Semi-Furnished,980.0,1500.0,East,13, Maharashtra,15000,0,0
70,Apartments,3,3,Furnished,2000.0,1000.0,East,2, Maharashtra,28000,0,0
71,Apartments,1,1,Unfurnished,350.0,300.0,others,2, Maharashtra,7500,0,1
72,Apartments,2,2,Semi-Furnished,800.0,935.0,others,1, Maharashtra,22000,0,0
73,Apartments,2,2,Furnished,1250.0,0.0,West,13, Maharashtra,60000,0,0
74,Houses & Villas,1,1,Unfurnished,800.0,8000.0,East,1, Maharashtra,8000,0,0
75,Apartments,1,1,Semi-Furnished,640.0,1500.0,others,6, Maharashtra,15000,0,0
76,Apartments,1,1,Unfurnished,500.0,250.0,East,4, Maharashtra,8000,0,0
77,Houses & Villas,1,1,Unfurnished,800.0,200.0,East,0, Maharashtra,6000,0,0
78,Apartments,1,2,Semi-Furnished,450.0,0.0,North,18, Maharashtra,31000,0,0
79,Apartments,2,2,Semi-Furnished,880.0,0.0,West,19, Maharashtra,41000,0,0
80,Apartments,3,2,Furnished,1000.0,300.0,others,6, Maharashtra,30000,0,0
81,Apartments,1,1,Unfurnished,460.0,0.0,North,7, Maharashtra,8500,0,0
82,Apartments,1,1,Semi-Furnished,510.0,0.0,East,7, Maharashtra,16500,0,0
83,Apartments,2,2,Semi-Furnished,850.0,0.0,East,7, Maharashtra,20000,0,0
84,Apartments,2,2,Semi-Furnished,850.0,0.0,East,22, Maharashtra,35000,0,0
85,Apartments,3,3,Semi-Furnished,1250.0,0.0,North,22, Maharashtra,41000,0,0
86,Apartments,1,1,Furnished,520.0,500.0,North-East,4, Maharashtra,13500,0,0
87,Apartments,1,1,Semi-Furnished,575.0,0.0,East,3, Maharashtra,16000,0,0
88,Apartments,1,1,Unfurnished,465.0,0.0,East,5, Maharashtra,7500,0,0
89,Apartments,1,2,Semi-Furnished,650.0,0.0,North-East,7, Maharashtra,10000,0,0
90,Apartments,1,1,Unfurnished,485.0,0.0,East,4, Maharashtra,14000,0,0
91,Apartments,1,1,Furnished,600.0,500.0,East,3, Maharashtra,13000,0,0
92,Apartments,1,1,Unfurnished,299.0,300.0,others,1, Maharashtra,30000,0,0
93,Apartments,1,1,Unfurnished,269.0,300.0,North-East,23, Maharashtra,14000,0,1
94,Apartments,2,2,Unfurnished,667.0,2000.0,North-West,4, Maharashtra,9500,0,0
95,Builder Floors,1,1,Semi-Furnished,225.0,0.0,East,8, Maharashtra,15000,0,0
96,Apartments,1,2,Unfurnished,600.0,0.0,East,12, Maharashtra,2125,0,0
