Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,Rent
Houses & Villas,1,1,Unfurnished,350,200,North,2,"₹ 7,500"
Apartments,2,2,Unfurnished,810,5,Residential apartment,2,"₹ 18,500"
Apartments,3,2,Semi-Furnished,950,3500,East,4,"₹ 1,55,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,1,Furnished,1,0,East,5,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,833,12,Balaji Whitefield,12,"₹ 14,500"
Houses & Villas,1,2,Unfurnished,650,0,North,2,"₹ 4,000"
Apartments,2,2,Unfurnished,800,0,North-West,130,"₹ 13,000"
Apartments,1,1,Unfurnished,470,0,North-West,14,"₹ 8,500"
Apartments,1,1,Unfurnished,460,0,North-East,4,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,Yes,22,Lakeshore Heights Powai,12,"₹ 40,000"
Apartments,1,1,Unfurnished,500,0,West,5,"₹ 12,000"
Apartments,2,2,Furnished,850,10,NG SILVERSPRING,5,"₹ 22,000"
Apartments,1,2,Semi-Furnished,480,0,North-East,12,"₹ 14,000"
Apartments,2,2,Unfurnished,955,7,Mangalmurti Dham,5,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,269,1,North-East,23,"₹ 14,000"
Apartments,1,2,Semi-Furnished,450,0,East,14,"₹ 16,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,225,0,East,7,"₹ 15,000"
Apartments,2,2,Semi-Furnished,800,500,North-East,4,"₹ 6,200"
Apartments,2,1,Unfurnished,850,15000,West,2,"₹ 16,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,300,00,East,4,"₹ 5,000"
Builder Floors,1,1,Unfurnished,388,500,South,3,"₹ 7,000"
Apartments,1,1,Unfurnished,300,0,East,2,"₹ 6,000"
Apartments,1,1,Unfurnished,480,0,West,4,"₹ 9,000"
Apartments,1,1,Unfurnished,550,0,East,3,"₹ 8,000"
Apartments,2,2,Semi-Furnished,960,0,East,11,"₹ 17,000"
Apartments,1,1,Unfurnished,550,0,East,2,"₹ 10,000"
Apartments,2,2,Unfurnished,500,0,East,3,"₹ 6,100"
Houses & Villas,3,3,Semi-Furnished,700,500,East,1,"₹ 12,000"
Apartments,1,2,Semi-Furnished,480,0,North-East,10,"₹ 16,000"
Apartments,1,1,Unfurnished,350,0,North-East,4,"₹ 9,000"
Apartments,1,1,Semi-Furnished,168,200,North-West,3,"₹ 5,000"
Apartments,2,2,Unfurnished,735,0,East,18,"₹ 9,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,350,0,North-East,7,"₹ 9,000"
Apartments,2,2,Semi-Furnished,860,0,North-East,7,"₹ 17,000"
Apartments,1,1,Semi-Furnished,490,0,North-East,7,"₹ 18,000"
Apartments,4,4,Furnished,2800,0,East,11,"₹ 70,000"
Apartments,2,2,Semi-Furnished,1030,0,East,12,"₹ 19,000"
Apartments,1,1,Unfurnished,500,0,East,18,"₹ 8,000"
Apartments,1,1,Unfurnished,760,0,Royal Serene Balewadi,9,"₹ 17,000"
Apartments,1,2,Semi-Furnished,415,14,SHEETAL HEIGHTS,14,"₹ 8,000"
Builder Floors,1,Unfurnished,Owner,Yes,2,Krushnai,1,"₹ 5,000"
Apartments,3,4,Unfurnished,1335,0,North,28,"₹ 50,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,3,Semi-Furnished,1100,2000,East,4,"₹ 22,000"
Apartments,1,2,Furnished,500,1,East,5,"₹ 30,000"
Builder Floors,2,2,Semi-Furnished,780,0,North,5,"₹ 23,000"
Builder Floors,2,2,Semi-Furnished,890,0,East,22,"₹ 18,000"
Apartments,2,2,Furnished,750,00,East,07,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,510,0,East,18,"₹ 7,500"
Houses & Villas,1,1,Unfurnished,425,0,East,2,"₹ 5,200"
Apartments,1,1,Semi-Furnished,305,24,New mhada tower kandivali West,17,"₹ 14,000"
Apartments,1,2,Semi-Furnished,450,0,The Walk Hiranandani Estate,19,"₹ 20,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,385,0,West,7,"₹ 9,000"
Houses & Villas,1,1,Unfurnished,650,0,North,1,"₹ 4,000"
Apartments,2,2,Unfurnished,650,0,West,23,"₹ 15,00,000"
Builder Floors,2,2,Unfurnished,850,0,South,3,"₹ 6,500"
Apartments,1,1,Semi-Furnished,240,7,CSR complex kandivali west,2,"₹ 8,000"
Builder Floors,1,1,Unfurnished,370,2,ARCHANA NEULKAR,1,"₹ 4,500"
Apartments,1,1,Unfurnished,305,24,New Mhada tower,13,"₹ 13,000"
Apartments,1,1,Unfurnished,240,0000,East,7,"₹ 13,000"
Apartments,3,3,Unfurnished,1200,0,North,7,"₹ 8,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,480,0,East,0,"₹ 10,000"
Apartments,3,3,Unfurnished,950,2200,"shree Avenue complex, Shree pooja building",7,"₹ 21,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,2,Semi-Furnished,No,19,DB OZone,1,"₹ 13,000"
Houses & Villas,3,3,Semi-Furnished,1200,00,South,2,"₹ 9,500"
Apartments,1,1,Unfurnished,320,250,East,2,"₹ 4,500"
Houses & Villas,1,1,Semi-Furnished,600,500,East,2,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,350,1000,North-East,12,"₹ 23,000"
Houses & Villas,3,3,Semi-Furnished,1200,00,South,2,"₹ 9,500"
Apartments,1,1,Unfurnished,320,250,East,2,"₹ 4,500"
Houses & Villas,1,1,Semi-Furnished,600,500,East,2,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,350,1000,North-East,12,"₹ 23,000"
Apartments,1,1,Unfurnished,500,00,West,2,"₹ 8,500"
Apartments,2,2,Semi-Furnished,1000,1000,East,4,"₹ 8,000"
Apartments,2,2,Unfurnished,1000,2750,South,13,"₹ 2,750"
Apartments,2,2,Furnished,850,0,North-East,7,"₹ 39,500"
Apartments,2,2,Unfurnished,920,0,East,5,"₹ 18,000"
Apartments,2,2,Semi-Furnished,715,0,North-East,19,"₹ 17,000"
Apartments,2,2,Semi-Furnished,650,2100,North,5,"₹ 16,100"
Apartments,1,1,Furnished,200,0,East,3,"₹ 15,000"
